,Handle,Name,abortion,administration,bill,budget,care,climate,conservative,culture,deal,debt,dem,doubt,economy,education,environment,gop,gun,health,human,illegal,immigration,interests,men,obama,police,president,private,protest,republican,research,rich,security,stop,tax,terror,trump,union,united,veterans,violence,war,women
0,amyklobuchar,Amy Klobuchar,0.0,0.0035121543188801623,0.03362000682826905,0.0017321611471491976,0.017664458859679072,0.0016144417890064872,0.00024841242744964154,0.0006294981222260157,0.0008564697849095253,-0.0014144759303516558,0.014530419938545577,-2.864458859679074e-05,0.011500614544213042,0.0038302492318197335,0.0012355411403209289,0.0013587231136906795,-0.002947388187094571,0.007804643222942982,0.001350153636053261,-0.0014787299419597132,0.000500785250938887,2.7791054967565732e-05,0.05988118811881187,0.0016601911915329465,0.0005321952884943666,0.006750051212017752,0.0006345510413110276,-0.0005552748378286104,0.002514612495732332,0.0024579037214066237,0.0009413110276544897,0.00826715602594742,0.0003214407647661317,0.0013068624103789697,-0.0008009218163195631,0.0002770228747012636,0.0019710822806418573,0.0014672243086377604,0.0062648685558211,-0.004688118811881188,0.023925025606008878,0.019699146466370776
1,BenSasse,Ben Sasse,-0.00014635416666666665,0.0,0.00015222222222222227,8.934027777777778e-05,-0.0001091319444444445,2.3298611111111113e-05,0.0012749305555555554,-0.0005349652777777779,0.000301875,4.7465277777777777e-05,-0.0007457638888888891,-0.000611388888888889,0.0006774305555555556,0.0009576388888888888,0.00015291666666666668,-0.00024489583333333335,-0.000145625,0.0012719791666666665,0.001184861111111111,-0.00047062499999999996,0.0,0.0005237847222222223,0.010253645833333333,-0.00021263888888888892,0.00032815972222222225,0.0003910069444444443,0.00011805555555555556,0.0008099305555555556,0.000719826388888889,0.0002859722222222222,2.243055555555559e-05,0.00045253472222222217,-0.002499826388888889,0.0004461805555555555,-0.0006446875,0.0017671527777777779,0.0005024305555555556,0.0009559722222222222,0.0,-0.0002579861111111111,-0.0013612847222222225,-0.000742986111111111
2,BillCassidy,"Bill Cassidy, M.D.",0.0002988501859993236,0.0006293878931349341,0.013198613459587423,0.00040791342576936083,0.038568988840040556,0.00011329049712546503,0.002404159621237741,0.0013383158606695975,-0.0003608725059181601,-0.0002734866418667568,0.006602705444707473,9.239093676022996e-05,0.0035343253297260733,0.002072641190395671,0.00016702739262766317,0.0008127155901251268,-0.0005658099425093,0.03407091646939461,0.0004473452823807913,0.0026809942509299967,0.0026527561717957387,0.0003593506932702063,0.02303828204261074,0.0011768684477510992,0.0015791004396347654,0.01199242475481908,0.0010904294893473116,0.00016878593168752112,0.0024675346635103152,0.002996787284409875,0.0007348326006087251,0.000536591139668583,0.002492018938112952,0.005722996280013529,-0.0004392289482583698,0.0075260399053094385,0.0008167061210686507,0.001872708826513358,0.005865471761920866,-0.0014744335475143726,0.013949983090970574,0.004911193777477172
3,BobCorker,Bob Corker,0.0,0.0,0.00685625,-0.006086805555555557,0.015530555555555554,0.0,0.0,0.005569444444444445,0.0,-0.0025083333333333333,0.0,-0.0007659722222222219,-0.0028638888888888893,0.0,0.0,0.011645138888888887,0.0,0.008960416666666667,-0.003310416666666667,0.0,0.0,0.0,0.022661805555555557,0.0015715277777777778,0.0,-0.0009208333333333337,0.0,0.0,0.019709722222222222,0.0,0.0,0.0021347222222222223,0.0,0.010977083333333333,0.0,0.004504166666666667,0.0,0.0,0.005490277777777778,0.0,0.014681944444444444,0.0054868055555555555
4,brianschatz,Brian Schatz,0.0002856396866840731,-0.0005546344647519582,0.0016884138381201036,0.0003558746736292429,0.007083028720626633,0.0025116187989556145,0.00048126631853785906,6.909268929503916e-05,0.002057996083550914,-0.0008605417754569193,0.009018994778067887,0.00015750652741514364,0.0006519255874673627,0.0007452676240208876,-0.00018051566579634467,0.002269157963446475,-0.0024402415143603136,0.004436031331592689,0.0014787532637075718,-0.0014923629242819842,-0.000714784595300261,-0.0001629569190600522,0.004650391644908616,-4.2330287206266185e-05,5.610313315926891e-05,0.0022472911227154027,-0.0001474869451697128,-0.00028133159268929506,0.004192330287206267,-0.0011924281984334205,0.0028096605744125334,0.0011068864229765011,-0.002378687989556136,0.0006975195822454306,-0.0012909595300261095,0.0032432767624020887,0.0016971605744125326,0.0017843015665796346,0.0011928851174934727,-0.0032750652741514357,-0.001169125326370757,0.0012150130548302873
5,ChrisCoons,Senator Chris Coons,0.0,0.0039643358982937435,0.0228967213114754,0.00015352960856473754,0.030488457678153214,0.0016352626296420208,0.0001473402475744396,0.0014729006356641013,0.003914419538307128,-0.0011595516895282704,0.014549581799933096,-0.00029284041485446637,0.003843994647039144,0.007501906992305118,0.00120418200066912,0.0021302107728337237,-0.002542756774841084,0.02997654734024756,0.0053025761124121775,-0.0006351957176313148,0.002784041485446638,0.0035102709936433597,0.0544358982937437,-0.0002693208430913349,0.0019688190030110403,0.00901622616259619,0.0012618601538976247,0.00026038808966209433,0.005840682502509202,0.004670893275342924,0.0013594513215122116,0.009366343258614922,-0.001988691870190699,0.007782034125125461,-0.0012602208096353297,0.00476912010705922,0.0008755436600869856,0.008558179993308794,0.0015922047507527601,-0.0045431917029106735,0.04737370357979255,0.004321010371361661
6,ChrisMurphyCT,Chris Murphy,-0.000446276765739853,-0.0015076062639821032,0.0036786193672099696,0.00015899648449984016,0.029127356983061684,-5.135826142537552e-05,0.0004001917545541707,0.00043486736976669857,-0.0002240012783636945,-0.0010184403962927454,-0.0026340364333652935,-0.0007149248961329499,0.0003285394694790668,0.001575775007989773,0.0014555768616171302,0.0016497283477149255,-0.019904090763822307,0.020717545541706617,-0.0018897091722595077,-0.002150207734100351,-0.00013167146053052087,-0.0003806008309364014,0.004084244167465644,-0.0013171620325982743,-0.0005301693831895176,-0.0014039948865452226,-0.00020767018216682651,-5.3052093320549706e-05,0.0015537871524448704,-0.0005314157877916266,0.001415915627996165,0.002776478108021732,-0.002319175455417065,0.004346085011185682,-0.002142473633748802,-0.003290572067753278,0.0004842441674656439,-0.0006291786513263023,0.004129913710450623,-0.02021099392777245,-0.006162224352828378,0.000251006711409396
7,ChrisVanHollen,Chris Van Hollen,-9.836196564123053e-05,-0.0033938074310827,0.010342069516580104,-0.0015087095485417498,0.016854095085896928,4.546544147023568e-05,-0.00021697962445065922,0.0,-0.0010939672393128245,-0.0036953256092688773,0.0030731921693967247,0.0002226927686775869,0.0024155013983220134,0.002348381941669996,0.0021031162604874146,-0.0003369956052736713,-0.012936196564123056,0.014731721933679586,0.0004127447063523769,-0.0011487415101877748,-0.0017722333200159805,0.005135956851777867,0.018562644826208556,-0.00019236915701158604,-0.00038889332800639236,0.0024470235717139422,-0.0006630443467838593,8.625649220934875e-05,0.0016072712744706341,0.0026018777467039554,0.004413144226927686,0.0023266879744306837,-0.009625289652417098,0.004986815821014786,-0.005175829005193767,-0.015833240111865755,0.0015855373551737913,0.00500870954854175,0.001057890531362365,-0.01082908509788254,0.005228485817019576,0.0011661606072712741
8,ChuckGrassley,ChuckGrassley,-8.037634408602151e-05,0.0003464045698924731,0.009223084677419354,0.0003266129032258064,0.009057224462365591,0.00043403897849462363,0.0008402889784946237,0.0021374327956989246,0.00156065188172043,-0.001736424731182796,0.0033657930107526884,0.0,0.002326041666666667,0.0014337029569892474,0.0003493951612903226,-0.00010157930107526884,-0.00012752016129032268,0.008719959677419354,0.0015619959677419352,-0.0008486223118279571,0.0029743951612903234,-0.00024519489247311826,0.01507516801075269,0.0013879368279569892,0.0020615927419354845,0.005584475806451615,0.0003105174731182796,0.0002940188172043011,-0.0002228494623655914,0.00019475806451612907,0.0008319220430107526,0.0047490927419354826,-0.0012548051075268814,0.007157963709677418,-0.003765759408602151,0.006521438172043011,0.0030442876344086017,0.001550840053763441,0.006079805107526881,-0.0004337029569892473,0.010333232526881724,0.0016535282258064515
9,clairecmc,Claire McCaskill,0.0,-0.00019233680227057718,0.00037754651529486,-0.0011653421633554084,0.0043316304005045735,-0.00030047303689687796,-0.00034840744244717754,-0.0011115105644906968,0.00034367707347839803,-0.00036777041942604854,0.0029554083885209716,-0.0001610217596972564,-0.0002981393882056134,0.0001474613686534216,0.0,0.00015982339955849894,-0.0009569221065909806,0.0025042888678650254,0.00023506780195521916,-0.0003565436770734784,0.0008578997161778619,0.00020920845159255755,0.01431466414380322,-0.0003001892147587512,0.0017423525701671392,0.0024726269315673297,0.0008487858719646799,0.0013555345316934718,-0.0007860296436455374,0.0009434247871333964,0.0005977924944812363,0.001987953327026175,-0.0016119520655944498,-0.001109082308420057,-0.0011299905392620623,0.0008857142857142855,-0.00013888363292336803,0.0015192368338063698,0.004186313465783664,-0.0020828445285398928,0.0029105644906969423,0.006786534216335541
10,CoryBooker,Cory Booker,0.00019584843492586492,-0.0016662602965403623,0.005416046128500823,6.266886326194397e-05,0.016227281713344317,-0.0004940362438220758,-0.00016481054365733114,-0.00024622734761120264,0.001307940691927512,6.240527182866557e-05,0.005193080724876441,-9.752883031301483e-05,8.293245469522238e-05,0.0006464250411861614,0.002642174629324547,0.001904349258649094,-0.002802075782537068,0.013880197693574958,0.0005135420098846788,-0.0006150576606260297,0.0001498517298187809,0.0016232619439868203,0.023035848434925853,-0.00047957166392092245,-0.0009416474464579903,0.0025052388797364073,0.0003911367380560132,-0.0004975617792421747,0.0006628006589785834,0.0007189785831960461,0.0022284349258649095,0.000758978583196046,-0.000698978583196047,-0.0015481054365733115,-0.000832652388797364,-0.0036463920922570003,0.0016250741350906097,0.001730378912685338,0.0010499176276771004,-0.005397825370675453,0.008067775947281712,0.0013428006589785828
11,GrahamBlog,Lindsey Graham,-9.866105585309875e-05,-0.0012199693955623567,0.003015761285386382,-0.0001428462127008417,0.003407995409334352,0.0,0.0010964039785768935,-5.8110175975516444e-05,-0.0019189364957918897,-0.004089173680183626,0.001067750573833206,5.9143075745983175e-05,-0.0010289977046671766,0.00016847742922723795,0.0,0.0017700459066564652,-0.008733703136954858,0.004347398622800306,0.0002328615149196633,-0.0011485845447589899,1.2624330527926646e-05,0.0009640397857689365,0.007231293037490431,-0.013164919663351198,0.0004366870696250956,-0.00924812547819434,2.9533282325937263e-05,-0.0007250191277735271,0.001170964039785769,9.563886763580719e-05,-6.392501912777347e-05,0.007173412394797246,-0.0010897092578423869,5.2486610558530965e-05,-0.013467635807192043,0.0003187069625095639,0.00018026013771996937,0.007907459831675592,0.0015809869931140016,-0.0033786534047436883,-0.0011707727620504974,0.0015704667176740627
12,JeffFlake,Jeff Flake,0.0,0.0008023470565602155,0.012860176991150432,-0.0001517121969988457,0.004621123509041939,0.00016944978838014622,0.00201304347826087,0.00021450557906887264,0.001746479415159677,-0.008551365909965374,0.003454867256637169,-0.0003330126971912274,0.0008465563678337821,0.0006809542131589073,0.0005335513659099654,0.0022065025009619086,-0.0010962677953058868,0.003318045402077722,0.00019215082724124662,-0.0017197768372450941,0.003230473258945749,0.0013342054636398615,0.02306952674105424,0.0021675644478645634,0.0005266641015775298,0.0065587533666794946,0.0005370911889188149,0.0,0.0035913813005001923,0.00033285879184301656,0.0005676414005386687,0.005275952289342054,-0.0015806464024624857,0.0032069257406694886,-0.0019638322431704503,-1.0504040015390532e-05,0.0009744901885340516,0.0016616006156213927,0.005257714505579068,-0.0012397460561754522,0.013660292420161596,0.001827048864948057
13,JerryMoran,Senator Jerry Moran,0.0,-0.0001291218326969802,0.01671863936133287,0.000527282193682749,0.022226830961471714,4.106213120444293e-05,0.0,0.0034716765012148564,2.9017702186740794e-05,0.00033592502603262754,0.0035360291565428668,0.00011596667823672337,0.004698333911836168,0.004788024991322457,0.0017095105866018745,-0.0003332176327664006,-0.00043123915307185005,0.010590801804928844,0.0013122526900381812,-0.0004234987851440472,0.0001457480041652204,0.0018148559527941686,0.044185525859076695,0.00035918083998611583,0.00044543561263450193,0.00396043040610899,0.0,0.0,0.0007311350225616106,0.0035602221450885107,0.0017827490454703227,0.005458903158625476,0.0016311350225616103,0.0052861853523082265,-0.0034375564040263792,0.0002655328011107254,0.0,0.005536029156542867,0.01913977785491149,-0.0013486983686220064,0.019618812912183266,0.007906837903505728
14,JimInhofe,Jim Inhofe,-0.0004427230046948357,0.001000670690811535,0.01556230717639169,0.0013294433266264252,0.014881757209926223,0.003107847082494969,0.004557880617035547,0.0009857813547954394,0.0008203219315895372,0.0,0.0014633802816901404,0.0,0.009987860496311202,0.00044118041582830316,0.0047141515761234066,0.0005341381623071764,-0.00034245472837022135,0.0042742454728370224,0.0016816901408450704,-0.0011362173038229376,0.0023446009389671363,0.0008668678739101274,0.056892890677397695,-0.00036519114688128817,-0.00048182427900737764,0.006927162977867202,0.00059738430583501,0.000551643192488263,0.0014220657276995308,0.0001517773306505701,0.0,0.008886452045606974,0.0018422535211267607,0.006904024144869215,-0.008139771965124078,0.003998189134808853,0.0013205902079141516,0.005188866532528504,0.011669483568075116,-0.003023943661971831,0.029294164989939638,0.008167471495640509
15,JohnBoozman,Senator John Boozman,0.0006010357500835283,0.0038809555629802876,0.02725492816572002,0.0009533244236551954,0.02473775476110926,0.00031496825927163384,0.00033377881724022717,0.0068462078182425674,0.0007730036752422321,4.2231874373538243e-05,0.002358870698296024,-0.0001730036752422319,0.012234580688272639,0.007153524891413299,0.0009257266956231207,0.00020026729034413633,-0.000410090210491146,0.014275141997995327,0.0008700634814567324,-0.0003686602071500167,0.00015188773805546274,0.0012622118275977278,0.08700123621784156,0.001755629802873371,0.0009629134647510861,0.005983127297026394,0.0021336451720681588,0.0,0.00046929502171734044,0.0019791513531573672,0.0022192114934847977,0.00475282325425994,0.007391747410624791,0.010294687604410293,-0.002264617440694955,0.0005668894086201135,0.0017448713665218845,0.003384964918142332,0.02272014700968927,-0.0018843301035750084,0.03925489475442698,0.012492281991313062
16,JohnCornyn,Senator John Cornyn,0.00042009635237439785,0.0023553682037164487,0.005161046111493463,0.0005770474879559531,0.004055471438403305,0.0,0.0016083275980729526,0.00010412938747419131,0.0029301445285615964,-0.00026782518926359256,-0.002446765313145219,-0.0015087405368203717,0.0012241225051617345,0.003644838265657261,8.176187198898828e-05,0.0019491052993805913,-0.0021562284927735716,0.0016222986923606333,-0.0006142807983482449,-0.004438024776324845,8.78527185134205e-05,-2.594631796283552e-05,0.019541913282863047,0.0004753957329662768,0.0012049552649690295,0.0058779421885753625,0.0009943565037852718,-0.0009233998623537508,0.005431039229181005,0.00026906400550584996,0.0007751204404679973,0.007836338609772883,-0.0030388162422573983,0.005407570543702684,-0.0020833792154163803,0.006846386785960082,0.0005343427391603579,0.003116379903647626,0.002393358568479009,-0.004417171369580179,0.004272814865794909,0.0024322092222986923
17,joniernst,Joni Ernst,-0.0003473126419379258,-0.0002177895533686601,0.0013395912187736563,0.0015022710068130205,0.007854882664647993,0.0,0.006341710825132475,0.0029778198334595002,0.0012698713096139288,-0.0033463285389856174,0.0006580620741862225,0.0,0.002109008327024981,0.0005771385314155942,0.0003835730507191522,0.015648145344436034,0.0,0.0038614685844057532,0.0,-0.0002068130204390613,0.0,0.00265336866010598,0.025940423921271778,-0.0025115064345193026,0.0,0.008168660105980318,-0.000718773656320969,0.0,0.005262074186222559,0.0,0.0002734292202876609,0.0025262679788039363,0.0073532929598788795,0.0008535200605601816,-0.002637471612414837,0.0009052990158970477,0.0005783497350492051,0.0016267221801665407,0.010164193792581377,0.0,0.006563966691900076,0.007089553368660105
18,lisamurkowski,Sen. Lisa Murkowski,0.0,0.0005729300439337613,0.032647718823927016,0.0030953700574518415,0.016332578573842516,0.0028056437985806014,0.0,0.00395349780331193,0.00011470091247042921,0.0,0.005697904697532949,0.0007869212571814802,0.008245217979046975,0.005603007772896249,0.005483710713078742,0.0002807029401824941,-0.00018982764447448457,0.020936363636363635,0.0014216965190942887,-0.0007923622845555931,0.00021909428861101722,0.0009171003717472118,0.07764670496789455,0.00031622169651909435,0.0009180804325785739,0.004101926326461642,0.0010340993578911795,2.6089895234876648e-05,0.00020696181142277798,0.002712031091584995,0.0034069618114227784,0.015266542750929374,0.0022687056437985806,0.009124907063197026,-0.0017928016221696523,-0.00020588036498817166,0.0009526867184859749,0.004070564379858061,0.01112852314971274,-0.002902838796890842,0.03427249070631969,0.014223690435958098
